order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,city,country,payment_method,status
ORD00001,CUST0314,PRD023,Yoga Mat,Sports,1,600,600,2026-02-17,Kolkata,India,Cash on Delivery,Completed
ORD00002,CUST0240,PRD025,Cycling Helmet,Sports,5,1800,9000,2026-01-12,Chennai,India,Debit Card,Pending
ORD00003,CUST0430,PRD008,Zara Dress,Clothing,1,3500,3500,2026-01-23,Pune,India,Debit Card,Completed
ORD00004,CUST0215,PRD014,Aashirvaad Atta 10kg,Groceries,5,450,2250,2025-11-30,Hyderabad,India,Cash on Delivery,Cancelled
ORD00005,CUST0276,PRD008,Zara Dress,Clothing,4,3500,14000,2025-12-27,Surat,India,Debit Card,Completed
ORD00006,CUST0071,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-11-23,Jaipur,India,Cash on Delivery,Completed
ORD00007,CUST0144,PRD017,Office Chair,Furniture,4,6500,26000,2026-01-18,Pune,India,Debit Card,Completed
ORD00008,CUST0194,PRD011,Tata Salt 1kg,Groceries,4,25,100,2026-01-16,Chennai,India,Debit Card,Cancelled
ORD00009,CUST0403,PRD007,Nike T-Shirt,Clothing,5,1500,7500,2025-11-14,Pune,India,Cash on Delivery,Pending
ORD00010,CUST0289,PRD018,Bookshelf,Furniture,3,4500,13500,2025-12-01,Bangalore,India,Debit Card,Cancelled
ORD00011,CUST0014,PRD009,Adidas Jacket,Clothing,2,4500,9000,2025-09-27,Pune,India,Debit Card,Completed
ORD00012,CUST0090,PRD007,Nike T-Shirt,Clothing,3,1500,4500,2025-11-23,Hyderabad,India,Debit Card,Completed
ORD00013,CUST0488,PRD014,Aashirvaad Atta 10kg,Groceries,1,450,450,2025-12-22,Jaipur,India,Debit Card,Cancelled
ORD00014,CUST0243,PRD025,Cycling Helmet,Sports,1,1800,1800,2025-11-09,Kolkata,India,Debit Card,Completed
ORD00015,CUST0471,PRD002,Apple iPhone 14,Electronics,1,75000,75000,2025-11-03,Surat,India,UPI,Completed
ORD00016,CUST0414,PRD007,Nike T-Shirt,Clothing,1,1500,1500,2026-02-13,Surat,India,Net Banking,Completed
ORD00017,CUST0151,PRD012,Amul Butter 500g,Groceries,2,280,560,2025-10-06,Mumbai,India,Credit Card,Completed
